,global_fit1,local_fit1
[1],0.01211665,0.01207831
[2],0.01189354,0.01204468
[3],0.01167798,0.01189294
[4],0.01156667,0.01180017
[5],0.011484,0.01150939
[6],0.01147628,0.01145022
[7],0.0114284,0.01145022
[8],0.01140434,0.01142669
[9],0.01139257,0.01142593
[10],0.01137428,0.01140644
[11],0.01135415,0.01136201
[12],0.01133026,0.01133577
[13],0.01130587,0.01129246
[14],0.01130235,0.01128724
[15],0.01126865,0.0112768
[16],0.0112475,0.01126584
[17],0.01123846,0.01124981
[18],0.0111798,0.01124774
[19],0.0111798,0.01123019
[20],0.01116458,0.01120722
[21],0.01116357,0.0111924
[22],0.01116357,0.01117154
[23],0.01115367,0.0111468
[24],0.01115367,0.01112943
[25],0.01115367,0.01107782
[26],0.01114137,0.01107341
[27],0.01113558,0.01107341
[28],0.01113558,0.01106992
[29],0.01112536,0.01105399
[30],0.01112421,0.01105137
[31],0.01111785,0.01105137
[32],0.01110749,0.0110421
[33],0.01110715,0.01103529
[34],0.01110375,0.01103389
[35],0.01109898,0.01103022
[36],0.01109869,0.01101882
[37],0.01109869,0.01100316
[38],0.0110981,0.01099265
[39],0.01108795,0.01098627
[40],0.01108784,0.01098584
[41],0.01108625,0.01098425
[42],0.01107873,0.01098425
[43],0.01107873,0.01098311
[44],0.01107633,0.01098311
[45],0.01107633,0.01097655
[46],0.01107464,0.01096815
[47],0.01107464,0.01096619
[48],0.01107464,0.01096462
[49],0.01107464,0.01096099
[50],0.01107295,0.01096099
