,Variant_7,Variant_8,Variant_9
[1],0.00765681,0.00747772,0.00727668
[2],0.00713875,0.00694384,0.00708019
[3],0.00687473,0.00687802,0.00674828
[4],0.00684138,0.00678362,0.00668793
[5],0.0066477,0.00665963,0.00668793
[6],0.0066477,0.00660574,0.00667807
[7],0.00663807,0.0065966,0.0066498
[8],0.00661844,0.0065966,0.00660579
[9],0.00658446,0.00650462,0.00655822
[10],0.00657577,0.00650462,0.00655822
[11],0.00656802,0.00650462,0.00655486
[12],0.00656802,0.00650462,0.00650905
[13],0.00653965,0.00649137,0.00650905
[14],0.00653965,0.00646602,0.00650905
[15],0.00653965,0.00646602,0.00649275
[16],0.00651984,0.00646602,0.00649275
[17],0.00651984,0.00646602,0.00649275
[18],0.00651984,0.00646602,0.00649275
[19],0.00646665,0.00646602,0.00649275
[20],0.00646665,0.006464,0.00649275
[21],0.00646665,0.006464,0.00649275
[22],0.00646665,0.00645454,0.00649275
[23],0.00646665,0.00645454,0.00649275
[24],0.00646665,0.00645454,0.00648349
[25],0.00645113,0.00642214,0.00648349
[26],0.00645113,0.00641918,0.00647065
[27],0.00645113,0.00641918,0.00647065
[28],0.00645113,0.00641918,0.00647065
[29],0.00645113,0.00641918,0.00647065
[30],0.00645113,0.00641918,0.00644091
[31],0.00645113,0.00641918,0.00644091
[32],0.00645113,0.00641918,0.00644091
[33],0.00645113,0.00641581,0.00644091
[34],0.00645113,0.00641581,0.00644091
[35],0.00645113,0.00641581,0.00644091
[36],0.00645113,0.00641581,0.00644091
[37],0.00645113,0.00641581,0.00644091
[38],0.00645113,0.00641581,0.00644091
[39],0.00645113,0.00641581,0.00643104
[40],0.00645113,0.00641265,0.00643104
[41],0.00645113,0.00641265,0.00643104
[42],0.00645113,0.00641265,0.00643104
[43],0.00645113,0.00641265,0.00643104
[44],0.00645113,0.00641265,0.00643104
[45],0.00645113,0.00641265,0.00643104
[46],0.00645113,0.00641265,0.00643002
[47],0.00645113,0.00641265,0.00643002
[48],0.00645113,0.00641265,0.00643002
[49],0.00645113,0.00641265,0.00643002
[50],0.00645113,0.00641265,0.00643002
