46,32	42,49	102,6	95,07
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,48	42,69	101,2	94,28
46,14	42,09	101,2	94,64
46,68	41,91	101,4	94,26
46,68	41,91	101,4	94,26
46,68	41,91	101,4	94,26
46,68	41,91	101,4	94,26
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
45,56	42,38	100,6	93,61
