,pso_1,sade_1
[1],0.01207831,0.01221005
[2],0.01204468,0.01215518
[3],0.01189294,0.01210685
[4],0.01180017,0.01202081
[5],0.01150939,0.01193672
[6],0.01145022,0.01187765
[7],0.01145022,0.01176763
[8],0.01142669,0.01174087
[9],0.01142593,0.01168967
[10],0.01140644,0.01162291
[11],0.01136201,0.01159371
[12],0.01133577,0.011546
[13],0.01129246,0.01149502
[14],0.01128724,0.01145285
[15],0.0112768,0.01145136
[16],0.01126584,0.0114053
[17],0.01124981,0.01138602
[18],0.01124774,0.01136997
[19],0.01123019,0.01135069
[20],0.01120722,0.0113084
[21],0.0111924,0.01126233
[22],0.01117154,0.01123049
[23],0.0111468,0.01118383
[24],0.01112943,0.01114369
[25],0.01107782,0.01112824
[26],0.01107341,0.01111104
[27],0.01107341,0.01109785
[28],0.01106992,0.01107435
[29],0.01105399,0.01105757
[30],0.01105137,0.01102114
[31],0.01105137,0.01101642
[32],0.0110421,0.011007
[33],0.01103529,0.01100181
[34],0.01103389,0.01096405
[35],0.01103022,0.01095769
[36],0.01101882,0.01095722
[37],0.01100316,0.01095022
[38],0.01099265,0.01093246
[39],0.01098627,0.01093246
[40],0.01098584,0.01093246
[41],0.01098425,0.01093246
[42],0.01098425,0.01092455
[43],0.01098311,0.01092302
[44],0.01098311,0.01092159
[45],0.01097655,0.01092106
[46],0.01096815,0.01091931
[47],0.01096619,0.010913
[48],0.01096462,0.010913
[49],0.01096099,0.01091122
[50],0.01096099,0.01090473
[51],0.01075737,0.01084837
[52],0.01075737,0.01084413
[53],0.01075737,0.01084413
[54],0.01075737,0.01084293
[55],0.01075737,0.01082535
[56],0.01075737,0.01082535
[57],0.01075737,0.01082535
[58],0.01075737,0.01082535
[59],0.01075737,0.01082535
[60],0.01075597,0.01082535
[61],0.01074459,0.01082435
[62],0.01073383,0.0108101
[63],0.01073383,0.0108101
[64],0.01073383,0.01078784
[65],0.01073383,0.01078744
[66],0.01071643,0.01078744
[67],0.01071441,0.01077917
[68],0.01070816,0.01077572
[69],0.01070296,0.01076281
[70],0.01070146,0.01074482
[71],0.01069825,0.01074338
[72],0.01069825,0.01074338
[73],0.01069084,0.01074338
[74],0.01068835,0.01074338
[75],0.01067785,0.01074338
[76],0.01067362,0.01074338
[77],0.01067168,0.01074049
[78],0.010655,0.01074049
[79],0.010655,0.01074049
[80],0.010655,0.01074049
